mode,cores,batch_time_seconds,accuracy,f1_score,roc_auc
local[1],1,2.6712119579315186,0.9791666666666666,0.9791565710408994,0.9966473008956669
local[2],2,2.205911874771118,0.9791666666666666,0.9791565710408994,0.9963810215444204
local[4],4,1.8863389492034912,0.9791666666666666,0.9791565710408994,0.9963810215444204
