model,dataset,accuracy,precision,recall,f1,roc_auc
Random Forest,Validation,0.7210526315789474,0.7210140617532779,0.7210526315789474,0.7210311261153426,0.792503792503793
Random Forest,Test,0.6879432624113475,0.6899711648668764,0.6879432624113475,0.6877077449299286,0.7537967914438506
Linear SVM,Validation,0.7140350877192982,0.7140800375865686,0.7140350877192982,0.7140553644794969,0.7784314450981115
Linear SVM,Test,0.6950354609929078,0.6996527970550446,0.6950354609929078,0.694159523541489,0.7584020132117028
