feature,coefficient,absolute_coefficient
noun_frequency,-15.73021871331773,15.73021871331773
entity_density,-12.921685100289881,12.921685100289881
genitive_count,0.044877568777569044,0.044877568777569044
honore_r,0.00021546130434866944,0.00021546130434866944
